article,biomonitoring,biomonitoring/effect_marker,biomonitoring/effect_marker/biomarker,biomonitoring/effect_marker/biomarker/gene,biomonitoring/effect_marker/biomarker/molecule,biomonitoring/effect_marker/biomarker/molecule/lipid,biomonitoring/effect_marker/biomarker/molecule/other_molecule,biomonitoring/effect_marker/biomarker/molecule/protein,biomonitoring/effect_marker/biomarker/other,biomonitoring/effect_marker/biomarker/oxidative_stress,biomonitoring/effect_marker/physiological_parameter,biomonitoring/exposure_biomarker,biomonitoring/exposure_biomarker/adipose_tissue,biomonitoring/exposure_biomarker/blood,biomonitoring/exposure_biomarker/blood/children,biomonitoring/exposure_biomarker/blood/cord_blood,biomonitoring/exposure_biomarker/blood/pregnant_women,biomonitoring/exposure_biomarker/blood/workers,biomonitoring/exposure_biomarker/hair_nail,biomonitoring/exposure_biomarker/hair_nail/children,biomonitoring/exposure_biomarker/hair_nail/pregnant_women,biomonitoring/exposure_biomarker/hair_nail/workers,biomonitoring/exposure_biomarker/mothers_milk,biomonitoring/exposure_biomarker/other,biomonitoring/exposure_biomarker/placenta,biomonitoring/exposure_biomarker/urine,biomonitoring/exposure_biomarker/urine/children,biomonitoring/exposure_biomarker/urine/pregnant_women,biomonitoring/exposure_biomarker/urine/workers,exposure_routes,exposure_routes/combined,exposure_routes/dermal_uptake,exposure_routes/dermal_uptake/children,exposure_routes/dermal_uptake/pregnant_women,exposure_routes/dermal_uptake/workers,exposure_routes/inhalation,exposure_routes/inhalation/modeled_exposure,exposure_routes/inhalation/modeled_exposure/children,exposure_routes/inhalation/modeled_exposure/pregnant_women,exposure_routes/inhalation/modeled_exposure/workers,exposure_routes/inhalation/other,exposure_routes/inhalation/other/children,exposure_routes/inhalation/other/pregnant_women,exposure_routes/inhalation/other/workers,exposure_routes/inhalation/personal_measurement,exposure_routes/inhalation/personal_measurement/children,exposure_routes/inhalation/personal_measurement/pregnant_women,exposure_routes/inhalation/personal_measurement/workers,exposure_routes/oral_intake,exposure_routes/oral_intake/drinking_water,exposure_routes/oral_intake/drinking_water/children,exposure_routes/oral_intake/drinking_water/pregnant_women,exposure_routes/oral_intake/dust,exposure_routes/oral_intake/dust/children,exposure_routes/oral_intake/dust/pregnant_women,exposure_routes/oral_intake/dust/workers,exposure_routes/oral_intake/food,exposure_routes/oral_intake/food/children,exposure_routes/oral_intake/food/pregnant_women,exposure_routes/oral_intake/products,exposure_routes/oral_intake/products/children,exposure_routes/oral_intake/products/pregnant_women,exposure_routes/oral_intake/soil,exposure_routes/oral_intake/soil/children,exposure_routes/oral_intake/soil/pregnant_women,exposure_routes/oral_intake/soil/workers,site_comparisons,site_comparisons/polluted_area,site_comparisons/workplace
"Neurobehavioral effects of polychlorinated biphenyls ( PCBs ) at environmental levels of exposure have been reported in cross-sectional and prospective studies in infants and children .
However , observations differ for effect spectrum , persistence and effective matrix ( cord plasma , maternal plasma or milk ) .
In order to improve risk assessment by clarifying some of these uncertainties , a European multicentric study was set up .
Results from the German ( Düsseldorf ) cohort covering 171 healthy mother-infant pairs are given .
The sum of PCB congeners 138 , 153 and 180 ( sigma PCB ) in cord plasma and maternal milk was used to describe neonatal PCB exposure .
Mean sigma PCB-concentrations were 0.55 ng/ml in cord plasma and 427 ng/g fat in breastmilk .
This report covers the Bayley II mental ( MDI ) and psychomotor development index ( PDI ) as well as the Fagan Test of Infant Intelligence ( Visual Recognition Memory ) taken at 7 months of age in relation to neonatal sigma PCB .
After confounder-adjustment significant negative associations were found between sigma PCB in milk and MDI ( P < 0.05 ) , whereas the other associations proved insignificant .",1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A 1995 pilot study assessed sport fish consumption and contaminant exposure among Montreal-area residents fishing the frozen St. Lawrence River .
Interviews conducted among 223 ice fishers met on-site were used to create an index of estimated exposure to fish-borne contaminants .
A second-stage assessment of sport fish consumption and tissue contaminant burdens included 25 interviewees at the highest level of estimated contaminant exposure ( of 38 , or 66% of those solicited ) and 15 low-exposure fishers ( of 41 , or 37% of those solicited ) .
High-level fisher-consumers reported eating 0. 92+/-0.99 sport fish meals/week during the previous 3 weeks compared to 0.38+/-0.21 ( P<0.05 ) for the low-level group .
Based on the product of consumption frequency times mass of sport fish meals consumed , high-level consumers ate a mean of 18.3 kg of sport fish annually versus 3.3 kg for the low-level consumers .
Tissue contaminant assessments showed significant ( P<0.05 ) groupwise differences : 0-1 cm hair mercury ( median 0.73 microgram/g for the high versus 0.23 microgram/g for the low group ) , lipid-adjusted plasma PCB congeners ( Aroclor 1260 : median 0.77 microgram/g versus 0.47 microgram/g ) , and lipid-adjusted plasma DDE ( median 0.35 microgram/g versus 0.26 microgram/g ) .
No participant had a hair mercury or plasma DDE concentration above Health Canada recommendations but 2/25 high-level participants ( 8% ) had plasma Aroclor 1260 concentrations above recommended limits .
The results of this pilot study suggest that a small number of Montreal-area sportfishers consume their catch as often as three times weekly and that those consuming sport fish frequently have significantly higher tissue levels of mercury , PCBs , and DDE than do infrequent consumers .
On the other hand , compared to other groups in Quebec , such as the Inuit or commercial fishers on the North Shore of the Gulf of St. Lawrence , Montreal-area sportfishers eat less fish and have lower tissue concentrations of fish-related contaminants .",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fishing and fish consumption are widely practiced among members of certain ethnocultural groups .
Informal assessment led us to ascribe high levels of consumption of locally caught sportfish to Montrealers of Asian origin and to hypothesize that their choices of species and fish organs differ from those of the majority group .
An exploratory assessment of contaminant bioindicators reflective of St. Lawrence River fish consumption was conducted in late 1995 among nine Vietnamese and nine Bangladeshi Montreal sportfishers identified by community contacts .
Vietnamese participants , six men and three women , were 27-70 ( median 36 ) years of age and had immigrated to Canada 3-20 ( median 7 ) years earlier .
In contrast , the nine Bangladeshi males aged 28-41 ( median 34 ) years had been in Canada for 2-13 ( median 4 ) years .
Bio-indicator concentrations among Bangladeshi and Vietnamese participants are compared to those found for majority-community Montreal-area high-level consumers recruited on the St. Lawrence River during winter 1995 .
All results are presented as the median and 90th percentile .
Hair mercury concentrations were higher for both Vietnamese ( 1.2 , 4.6 microgram/g ) and Bangladeshis ( 1.1 , 2.3 microgram/g ) than for majority-community sportfishers ( 0.7 , 1.9 microgram/g ) .
Certain organochlorine levels , specifically total PCB ( estimated by plasma Aroclor 1260 ) , p,p'-DDT , p,p'-DDE , and B-BHC , were highest in the Bangladeshis compared to Vietnamese and to majority-community sportfishers .
In contrast , plasma levels of other pesticides were low in all three groups , including mirex , chlordane , and cis-nonachlor .
A correlation between plasma p,p'-DDT levels and recency of arrival in Canada was found for the Bangladeshis .
These data suggest a distinct pattern of tissue organochlorines , which we postulate relates to exposure prior to arrival in Canada and perhaps to the ongoing consumption of foods ( other than St. Lawrence River sportfish ) specific to these groups .",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fine particle concentration ( i.e. , particles <2.5 microm in aerodynamic diameter ; PM2.5 ) , but not coarse particle concentration , was associated with increased mortality in six U.S. cities .
Others criticized this result , arguing that it could result from differences in measurement error between the two size ranges .
Fine particles are primarily from combustion of fossil fuel , whereras coarse particles ( i.e. , particles between 2.5 and 10 microm in aerodynamic diameter ) are all crustal material , i.e. , dust .
One way to determine if coarse particles are a risk for mortality is to identify episodes of high concentrations of coarse , but not fine , particles .
Spokane , Washington , is located in an arid area and is subject to occasional dust storms after crops have been harvested .
Between 1989 and 1995 , we identified 17 dust storms in Spokane .
The 24-hr mean PM10 concentration during those storms was 263 microg/m3 .
Using control dates that were the same day of the year in other years ( but with no dust storm on that day ) and that had a mean PM10 concentration of 42 microg/m3 , we compared the rate of nonaccidental deaths on the episode versus nonepisode days .
There was little evidence of any risk [ relative risk ( RR ) = 1.00 ; 95% confidence interval ( CI ) , 0.81-1.22 ] on the episode days .
Defining episode deaths as those occurring on the same or following day as the dust storm produced similar results ( RR = 1.01 ; CI , 0.87-1.17 ) .
Sensitivity analyses , which tested more extensive seasonal control , produced smaller estimates .
We conclude that coarse particles from windblown dust are not associated with mortality risk .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The association of drinking water arsenic and mortality outcome was investigated in a cohort of residents from Millard County , Utah .
Median drinking water arsenic concentrations for selected study towns ranged from 14 to 166 ppb and were from public and private samples collected and analyzed under the auspices of the State of Utah Department of Environmental Quality , Division of Drinking Water .
Cohort members were assembled using historical documents of the Church of Jesus Christ of Latter-day Saints .
Standard mortality ratios ( SMRs ) were calculated .
Using residence history and median drinking water arsenic concentration , a matrix for cumulative arsenic exposure was created .
Without regard to specific exposure levels , statistically significant findings include increased mortality from hypertensive heart disease [ SMR = 2.20 ; 95% confidence interval ( CI ) , 1.36-3.36 ] , nephritis and nephrosis ( SMR = 1.72 ; CI , 1.13-2.50 ) , and prostate cancer ( SMR = 1.45 ; CI , 1.07-1. 91 ) among cohort males .
Among cohort females , statistically significant increased mortality was found for hypertensive heart disease ( SMR = 1.73 ; CI , 1.11-2.58 ) and for the category of all other heart disease , which includes pulmonary heart disease , pericarditis , and other diseases of the pericardium ( SMR = 1.43 ; CI , 1.11-1.80 ) .
SMR analysis by low , medium , and high arsenic exposure groups hinted at a dose relationship for prostate cancer .
Although the SMRs by exposure category were elevated for hypertensive heart disease for both males and females , the increases were not sequential from low to high groups .
Because the relationship between health effects and exposure to drinking water arsenic is not well established in U.S. populations , further evaluation of effects in low-exposure populations is warranted .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Through 1996 into 1997 , a spot investigation on mercury contamination was conducted three times in Tanzania , especially around the Lake Victoria .
A total of 150 goldminers , 103 fishermen and their families , and 19 residents of Mwanza City volunteered for the current study .
A high total mercury level of 48.3 ppm ( near to 50 ppm , a critical level of Minamata disease ) and over in the head hair was observed in six goldminers ( highest value , 953 ppm ) , four fishermen and their families ( highest value , 416 ppm ) , and four Mwanza people ( highest value , 474 ppm ) .
With the exception of these 14 subjects , however , each mean total mercury level was well within the normal range ( below 10 ppm ) .
Out of the goldminers examined , 14 cases were diagnosed as a mild form of inorganic-mercury poisoning according to their clinical symptoms ( such as polyneuropathy mercurialis , neuroasthemia , or tremor mercurialis ) and the low ratio of methylmercury to total mercury , whereas neither inorganic-mercury poisoning nor methylmercury poisoning ( Minamata disease ) was noted in the fishermen and their families or in the Mwanza people .
In addition , some subjects who showed a high total mercury level made habitual use of toilet soap containing much mercury .
The findings obtained suggest that the mercury pollution in Tanzania is not very serious , however , it should be observed continuously .",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Our objective was to evaluate the activities of some enzymes of the heme biosynthesis pathway and their relationship with the profile of urinary porphyrin excretion in individuals exposed chronically to arsenic ( As ) via drinking water in Region Lagunera , Mexico .
We selected 17 individuals from each village studied : Benito Juarez , which has current exposure to 0.3 mg As/l ; Santa Ana , where individuals have been exposed for more than 35 years to 0.4 mg As/l , but due to changes in the water supply ( in 1992 ) exposure was reduced to its current level ( 0.1 mg As/l ) , and Nazareno , with 0.014 mg As/l .
Average arsenic concentrations in urine were 2058 , 398 , and 88 microg As/g creatinine , respectively .
The more evident alterations in heme metabolism observed in the highly exposed individuals were : ( 1 ) small but significant increases in porphobilinogen deaminase ( PBG-D ) and uroporphyrinogen decarboxylase ( URO-D ) activities in peripheral blood erythrocytes ; ( 2 ) increases in the urinary excretion of total porphyrins , mainly due to coproporphyrin III ( COPROIII ) and uroporphyrin III ( UROIII ) ; and ( 3 ) increases in the COPRO/URO and COPROIII/COPROI ratios .
No significant changes were observed in uroporphyrinogen III synthetase ( UROIII-S ) activity .
The direct relationships between enzyme activities and urinary porphyrins , suggest that the increased porphyrin excretion was related to PBG-D , whereas the increased URO-D activity would enhance coproporphyrin synthesis and excretion at the expense of uroporphyrin .
None of the human studies available have reported the marked porphyric response and enzyme inhibition observed in rodents .
In conclusion , chronic As exposure alters human heme metabolism ; however the severity of the effects appears to depend on characteristics of exposure not yet fully characterized .",1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hettstedt , a city in eastern Germany with a long history of mining and smelting of nonferrous ores , has several industrial sources of heavy metals .
The indoor exposure to metals of children ( 5 to 14 years old ) in the Hettstedt area was assessed by measuring the levels of lead , cadmium , and arsenic contamination in sedimented house dust .
Factors which influence the dust loading rate and the surface loading rates of these contaminants in house dust were investigated .
The geometric mean of the dust loading rate was 8.9 mg/m2 day .
The geometric means of surface loading rates were 1.14 , 0. 024 , and 0.023 microg/m2 day for lead , cadmium , and arsenic , respectively .
Factors that were significantly associated with surface loading rates included the city area of residence , automobile traffic near home , parent with occupational exposure to heavy metals , type of heating , housing characteristics , whether child's home is damp , number of persons living in the child's home , and parents ' education .
The most significant of these factors was the city area of residence , which reflects the distance from the metal sources ; this factor accounted for about half of the variances explained by the regression models .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For the purpose of examining the association between blood lead levels and household-specific soil lead levels , we used a multivariate linear regression model to find a slope factor relating soil lead levels to blood lead levels .
We used previously collected data from the Agency for Toxic Substances and Disease Registry's ( ATSDR's ) multisite lead and cadmium study .
The data included the blood lead measurements ( 0.5 to 40.2 microg/dL ) of 1015 children aged 6-71 months , and corresponding household-specific environmental samples .
The environmental samples included lead in soil ( 18.1-9980 mg/kg ) , house dust ( 5.2-71,000 mg/kg ) , interior paint ( 0-16.5 mg/cm2 ) , and tap water ( 0.3-103 microg/L ) .
After adjusting for income , education of the parents , presence of a smoker in the household , sex , and dust lead , and using a double log transformation , we found a slope factor of 0.1388 with a 95% confidence interval of 0.09-0.19 for the dose-response relationship between the natural log of the soil lead level and the natural log of the blood lead level .
The predicted blood lead level corresponding to a soil lead level of 500 mg/kg was 5.99 microg/kg with a 95% prediction interval of 2. 08-17.29 .
Predicted values and their corresponding prediction intervals varied by covariate level .
The model shows that increased soil lead level is associated with elevated blood leads in children , but that predictions based on this regression model are subject to high levels of uncertainty and variability .",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"The Agusan River basin of eastern Mindanao , the Philippines , hosts several centres of artisanal gold mining , the most important of which , Diwalwal , is a significant gold producer in global terms .
An investigation of the environmental impacts of artisanal mining in the Agusan system , with particular reference to mercury contamination , was initiated in 1995 following reports of several incidents of human Hg poisoning in the province of Davao del Norte .
Results show drainage downstream of Diwalwal is characterised by extremely high levels of Hg both in solution ( maximum 2906 micrograms/l ) and in bottom sediments ( > 20 mg/kg ) .
Filtered surface water Hg levels exceed the WHO Drinking Water guideline and the US-EPA Water Quality Criteria for the Protection of Aquatic Life for a downstream distance of more than 14 km , including channel sections utilised for fishing and potable water supply .
The Environment Canada sediment quality Hg Toxic Effect Threshold for the Protection of Aquatic Life is exceeded for a downstream distance of 20 km .
Hair Hg data indicate that ballmill and CIP plant operators processing Hg contaminated tailings at eastern Mindanao's principal gold beneficiation centre , Apokon , may be subject to enhanced occupational Hg exposure .
It appears that the wider population of this area has not been affected .",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
